episode,reward,steps,duration,epsilon
177,-3.10,500,0.00,0.0000,-0.0013,0.0010,1.6036,-0.0004,-0.1612
178,-2.70,500,0.00,0.0000,-0.0000,0.0009,1.6033,0.0005,-0.1599
179,-3.50,500,0.00,0.0000,-0.0026,0.0010,1.6035,-0.0011,-0.1624
180,-2.40,500,0.00,0.0000,0.0010,0.0014,1.6038,0.0011,-0.1587
181,-2.00,500,0.00,0.0000,0.0022,0.0020,1.6043,0.0018,-0.1573
182,-1.30,500,0.00,0.0000,0.0042,0.0018,1.6050,0.0030,-0.1554
183,-1.10,500,0.00,0.0000,0.0040,0.0045,1.6058,0.0031,-0.1543
184,1.27,427,0.00,0.0000,0.0114,0.0183,1.6064,0.0080,-0.1401
185,-3.00,500,0.00,0.0000,-0.0036,0.0019,1.6068,-0.0017,-0.1633
186,-5.70,500,0.00,0.0000,-0.0130,0.0011,1.6069,-0.0075,-0.1732
187,-2.50,500,0.00,0.0000,-0.0025,0.0012,1.6067,-0.0013,-0.1626
188,-4.10,500,0.00,0.0000,-0.0081,0.0015,1.6066,-0.0046,-0.1680
189,-2.30,500,0.00,0.0000,-0.0022,0.0017,1.6063,-0.0009,-0.1620
190,-3.20,500,0.00,0.0000,-0.0049,0.0007,1.6059,-0.0027,-0.1652
191,-2.70,500,0.00,0.0000,-0.0034,0.0018,1.6055,-0.0016,-0.1631
192,-3.10,500,0.00,0.0000,-0.0045,0.0013,1.6050,-0.0022,-0.1643
193,-3.00,500,0.00,0.0000,-0.0038,0.0013,1.6044,-0.0018,-0.1635
194,-1.30,500,0.00,0.0000,0.0021,0.0016,1.6038,0.0018,-0.1574
195,-2.80,500,0.00,0.0000,-0.0029,0.0019,1.6035,-0.0011,-0.1623
196,-3.20,500,0.00,0.0000,-0.0041,0.0020,1.6031,-0.0017,-0.1634
197,-3.10,500,0.00,0.0000,-0.0028,0.0008,1.6026,-0.0013,-0.1626
198,-3.60,500,0.00,0.0000,-0.0047,0.0016,1.6024,-0.0021,-0.1641
199,-2.70,500,0.00,0.0000,-0.0007,0.0008,1.6021,0.0000,-0.1605
200,-2.10,500,0.00,0.0000,0.0011,0.0040,1.6022,0.0015,-0.1571
201,-3.20,500,0.00,0.0000,-0.0019,0.0016,1.6026,-0.0006,-0.1614
202,-3.60,500,0.00,0.0000,-0.0028,0.0009,1.6032,-0.0013,-0.1627
203,-3.60,500,0.00,0.0000,-0.0027,0.0017,1.6040,-0.0011,-0.1623
204,-2.70,500,0.00,0.0000,0.0004,0.0022,1.6046,0.0009,-0.1590
205,-1.60,500,0.00,0.0000,0.0046,0.0020,1.6051,0.0033,-0.1549
206,-3.30,500,0.00,0.0000,-0.0015,0.0023,1.6058,-0.0002,-0.1609
207,-1.50,500,0.00,0.0000,0.0048,0.0017,1.6061,0.0033,-0.1549
208,-2.30,500,0.00,0.0000,0.0013,0.0020,1.6065,0.0013,-0.1583
209,-3.30,500,0.00,0.0000,-0.0022,0.0010,1.6068,-0.0010,-0.1624
210,-2.40,500,0.00,0.0000,0.0005,0.0020,1.6069,0.0007,-0.1592
211,-1.70,500,0.00,0.0000,0.0022,0.0040,1.6070,0.0019,-0.1565
